1704076800000,2088.02000000,2088.02000000,2086.16000000,2086.16000000,0.66560000,1704077099999,1389.72140500,8,0.01920000,40.05427200,0
1704077100000,2085.92000000,2086.61000000,2083.51000000,2083.51000000,3.43210000,1704077399999,7153.05329000,25,0.35950000,749.79558100,0
1704077400000,2083.59000000,2086.72000000,2083.59000000,2085.98000000,0.71770000,1704077699999,1497.08497400,22,0.31380000,654.50685000,0
1704077700000,2085.51000000,2086.05000000,2084.66000000,2085.10000000,1.08570000,1704077999999,2263.97561900,21,0.89800000,1872.47242300,0
1704078000000,2084.93000000,2086.08000000,2084.12000000,2084.43000000,0.49600000,1704078299999,1034.05950900,16,0.12050000,251.20963300,0
1704078300000,2084.09000000,2086.20000000,2082.37000000,2082.37000000,2.82980000,1704078599999,5894.26956500,15,0.28280000,589.63091000,0
1704078600000,2082.15000000,2083.23000000,2080.63000000,2080.87000000,4.58750000,1704078899999,9550.05229000,27,1.37800000,2869.78409300,0
1704078900000,2080.43000000,2080.43000000,2077.51000000,2078.00000000,3.69190000,1704079199999,7675.10946200,29,2.18900000,4552.29008800,0
1704079200000,2078.00000000,2078.93000000,2075.33000000,2076.06000000,0.64810000,1704079499999,1346.04745300,20,0.35860000,744.70883000,0
1704079500000,2076.36000000,2076.75000000,2074.27000000,2075.53000000,2.14030000,1704079799999,4441.11074700,27,0.38270000,794.17544200,0
1704079800000,2075.76000000,2076.66000000,2073.52000000,2073.53000000,2.89780000,1704080099999,6012.30622500,24,1.27000000,2635.72149400,0
1704080100000,2073.96000000,2076.35000000,2073.45000000,2074.51000000,2.05440000,1704080399999,4260.74201200,15,0.31300000,649.34138300,0
1704080400000,2072.70000000,2072.70000000,2067.00000000,2069.45000000,7.06700000,1704080699999,14621.16211000,44,3.79000000,7840.09240800,0
1704080700000,2066.32000000,2070.59000000,2065.30000000,2070.33000000,2.81540000,1704080999999,5822.14009600,19,1.60150000,3313.68549600,0
1704081000000,2070.66000000,2070.66000000,2065.74000000,2065.74000000,6.01910000,1704081299999,12449.79634200,41,2.79660000,5786.34439700,0
1704081300000,2065.47000000,2069.22000000,2065.47000000,2066.97000000,2.71010000,1704081599999,5603.74445700,26,1.69290000,3501.19052900,0
1704081600000,2066.30000000,2071.12000000,2066.18000000,2070.83000000,9.15040000,1704081899999,18943.42557000,34,7.94110000,16444.06228200,0
1704081900000,2071.08000000,2071.96000000,2070.43000000,2070.43000000,0.60600000,1704082199999,1255.19570700,16,0.21130000,437.68726400,0
1704082200000,2070.98000000,2070.99000000,2065.61000000,2067.07000000,4.56340000,1704082499999,9431.19140600,23,1.48370000,3065.59780200,0
1704082500000,2067.46000000,2067.46000000,2064.19000000,2064.84000000,0.74550000,1704082799999,1539.55602100,24,0.31970000,660.08084400,0
1704082800000,2063.81000000,2066.71000000,2060.16000000,2066.71000000,10.10850000,1704083099999,20850.03725600,58,4.94290000,10196.96299900,0
1704083100000,2065.96000000,2065.96000000,2064.39000000,2065.21000000,1.38860000,1704083399999,2867.55599600,20,0.66930000,1382.06738700,0
1704083400000,2065.39000000,2068.08000000,2065.39000000,2068.08000000,2.21520000,1704083699999,4579.36955300,18,1.98220000,4097.66817400,0
1704083700000,2068.78000000,2068.78000000,2067.65000000,2067.73000000,0.45650000,1704083999999,944.10185300,9,0.22350000,462.12643500,0
1704084000000,2068.53000000,2068.91000000,2066.34000000,2067.97000000,0.58570000,1704084299999,1211.16286400,24,0.45710000,945.14322100,0
1704084300000,2067.72000000,2068.97000000,2066.33000000,2067.93000000,0.96010000,1704084599999,1985.46864600,14,0.67790000,1401.83038500,0
1704084600000,2069.24000000,2070.68000000,2068.50000000,2069.92000000,2.41780000,1704084899999,5003.90296400,19,0.47260000,977.97229800,0
1704084900000,2070.55000000,2072.12000000,2069.99000000,2072.12000000,2.04880000,1704085199999,4243.60689500,18,1.32870000,2751.59197500,0
1704085200000,2071.64000000,2073.78000000,2069.57000000,2069.57000000,1.57430000,1704085499999,3262.69593800,22,1.05290000,2182.40626200,0
1704085500000,2069.31000000,2072.22000000,2069.31000000,2072.19000000,2.03650000,1704085799999,4216.65211900,16,1.10470000,2286.29675700,0
1704085800000,2072.31000000,2075.57000000,2072.31000000,2075.57000000,2.96120000,1704086099999,6141.44727900,24,2.96120000,6141.44727900,0
1704086100000,2075.11000000,2075.49000000,2073.33000000,2073.33000000,1.13560000,1704086399999,2355.32075800,20,0.26520000,550.02785200,0
1704086400000,2073.44000000,2074.12000000,2073.33000000,2073.33000000,0.16400000,1704086699999,340.08145500,7,0.10550000,218.74543500,0
1704086700000,2071.31000000,2071.95000000,2070.63000000,2071.06000000,1.31540000,1704086999999,2723.94425400,10,0.18690000,387.18463800,0
1704087000000,2072.61000000,2073.26000000,2071.34000000,2071.92000000,0.97450000,1704087299999,2019.47482700,20,0.38710000,802.32667300,0
1704087300000,2070.98000000,2071.73000000,2069.69000000,2071.73000000,0.15160000,1704087599999,313.90124800,10,0.07590000,157.20054400,0
1704087600000,2071.58000000,2071.76000000,2071.17000000,2071.17000000,0.04410000,1704087899999,91.36145900,3,0.04410000,91.36145900,0
1704087900000,2072.02000000,2072.02000000,2068.57000000,2068.67000000,1.82370000,1704088199999,3774.59058800,23,0.23940000,495.68181800,0
1704088200000,2069.03000000,2069.29000000,2068.01000000,2068.24000000,1.30610000,1704088499999,2702.33526500,26,0.85590000,1770.84516700,0
1704088500000,2068.32000000,2069.37000000,2066.41000000,2069.37000000,1.39150000,1704088799999,2876.13960500,16,0.08840000,182.69474400,0
